"c1" "c2" "c3" "c4" "t1" "t2" "t3" "t4"
"1" 31 46 54 41 51 37 28 55
"2" 0 0 0 0 0 0 0 0
"3" 0 0 0 0 0 0 0 0
"4" 3 5 0 5 1 0 4 0
"5" 0 0 0 0 0 0 0 0
"6" 12 15 16 14 27 24 31 18
"7" 27 58 37 41 56 44 32 58
"8" 69 124 86 142 100 123 107 81
"9" 17 20 9 7 12 19 17 28
"10" 19 15 10 14 32 27 16 13
"11" 3 0 0 2 1 1 2 0
"12" 2 2 2 5 9 4 4 5
"13" 22 12 9 18 26 19 39 19
"14" 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0
"16" 13 20 14 15 20 16 13 20
"17" 11 13 7 9 13 13 10 15
"18" 26 14 27 13 43 15 26 28
"19" 0 0 0 0 0 0 0 0
"20" 38 35 45 51 39 75 67 55
"21" 8 13 10 10 19 17 10 15
"22" 8 8 6 8 16 14 12 15
"23" 196 226 175 282 216 284 295 165
"24" 7 11 14 21 19 13 14 15
"25" 13 7 7 10 15 17 7 13
"26" 0 0 0 0 0 0 0 0
"27" 0 0 0 0 0 0 0 0
"28" 0 0 0 0 0 0 0 0
"29" 25 12 23 14 31 26 20 33
"30" 0 0 0 0 0 0 0 0
"31" 33 55 52 56 50 41 43 41
"32" 2 14 2 5 7 4 9 12
"33" 20 34 23 27 37 31 17 27
"34" 9 25 16 24 28 28 22 23
"35" 0 0 0 0 0 0 0 0
"36" 89 130 60 128 100 124 145 160
"37" 0 0 0 0 0 0 0 0
"38" 33 38 34 28 58 75 55 43
"39" 7 6 10 10 9 7 12 21
"40" 9 8 12 8 8 17 21 12
"41" 5 14 14 10 6 10 9 7
"42" 0 0 0 0 0 0 0 0
"43" 0 3 2 5 6 6 2 1
"44" 2 9 8 4 11 11 12 17
"45" 5 13 6 4 16 9 13 17
"46" 25 19 20 32 36 24 32 26
"47" 0 0 0 0 0 0 0 0
"48" 5 6 4 2 8 9 10 8
"49" 0 0 0 0 0 0 0 0
"50" 14 12 16 13 19 29 23 18
"51" 0 3 0 0 0 1 0 2
"52" 19 25 16 37 141 98 98 107
"53" 4 13 7 12 9 17 14 7
"54" 10 6 4 4 1 2 3 1
"55" 8 21 15 11 10 12 9 10
"56" 0 0 4 1 2 1 1 2
"57" 3 3 7 1 4 4 3 6
"58" 5 15 10 12 12 10 22 14
"59" 51 38 33 50 131 90 48 57
"60" 0 0 0 0 0 0 0 0
"61" 11 18 14 22 14 18 13 14
"62" 9 16 5 7 14 11 6 9
"63" 0 0 0 0 0 0 0 0
"64" 0 0 0 0 0 0 0 0
"65" 8 14 9 3 8 15 15 6
"66" 1 9 1 10 4 6 7 11
